,word,freq,probability
178,cant wait see next,54,0.001844955
179,happy new years eve,54,0.001844955
180,merry christmas happy new,53,0.00181079
181,dont get wrong love,53,0.00181079
182,washington dc concert meetngreet,53,0.00181079
183,will please follow back,53,0.00181079
184,hope u feel better,53,0.00181079
185,im looking forward seeing,52,0.001776624
186,dc concert meetngreet austintodc,52,0.001776624
187,makes feel like im,51,0.001742458
188,good morning happy friday,51,0.001742458
189,cant wait go home,51,0.001742458
190,thanks helping spread word,51,0.001742458
191,follow hope youre entertained,51,0.001742458
192,hope youre entertained read,51,0.001742458
193,add eggs one time,50,0.001708292
194,dont think ill ever,50,0.001708292
195,rock roll hall fame,50,0.001708292
196,feel like im going,50,0.001708292
197,mom happy mothers day,50,0.001708292
198,cant wait hear new,50,0.001708292
199,actions speak louder words,49,0.001674126
200,really dont want go,49,0.001674126
201,cant wait see tomorrow,49,0.001674126
202,th birthday love much,49,0.001674126
203,happy birthday please kind,49,0.001674126
204,birthday please kind donuts,49,0.001674126
205,please kind donuts boyz,49,0.001674126
206,kind donuts boyz like,49,0.001674126
207,donuts boyz like dd,49,0.001674126
208,cant wait see tonight,49,0.001674126
209,awesome cant wait see,49,0.001674126
210,sounds like good idea,48,0.00163996
211,dont feel like going,48,0.00163996
212,holiday season can pungleme,48,0.00163996
213,season can pungleme app,48,0.00163996
214,completed food exercise diary,48,0.00163996
215,extra virgin olive oil,47,0.001605795
216,merry christmas happy holidays,47,0.001605795
217,cant wait till next,47,0.001605795
218,another day another dollar,47,0.001605795
219,can pungleme app check,47,0.001605795
220,tell friends follow us,47,0.001605795
221,dynamic ip pptpltpsstp server,47,0.001605795
222,get back swing things,46,0.001571629
223,im pretty sure just,46,0.001571629
224,may odds ever favor,46,0.001571629
225,lets get party started,46,0.001571629
226,say happy mothers day,46,0.001571629
227,im ready go home,46,0.001571629
228,today th birthday love,46,0.001571629
229,birthday love much will,46,0.001571629
230,love much will please,46,0.001571629
231,much will please follow,46,0.001571629
232,follow please d x,46,0.001571629
233,late s early s,45,0.001537463
234,good morning everyone hope,45,0.001537463
235,cant wait come back,45,0.001537463
236,just like everyone else,45,0.001537463
237,let know next time,45,0.001537463
238,max body hollywood body,45,0.001537463
239,body hollywood body club,45,0.001537463
240,cant go back sleep,45,0.001537463
241,general hookers gal cathyllogan,45,0.001537463
242,happy mothers day love,45,0.001537463
243,happy mothers day best,44,0.001503297
244,much fun last night,44,0.001503297
245,can get happy birthday,44,0.001503297
246,coming stage world famous,44,0.001503297
247,stage world famous comic,44,0.001503297
248,chance stun enemy seconds,43,0.001469131
249,damage attacks enemies times,43,0.001469131
250,celebrate cinco de mayo,43,0.001469131
251,never seen anything like,43,0.001469131
252,just want go home,43,0.001469131
253,looking forward seeing everyone,43,0.001469131
254,just got done watching,43,0.001469131
255,san francisco chronicle press,43,0.001469131
256,francisco chronicle press release,43,0.001469131
257,trainer max body hollywood,43,0.001469131
258,thanks following robin lynch,43,0.001469131
259,following robin lynch aerialist,43,0.001469131
260,baking powder baking soda,42,0.001434965
261,inserted center comes clean,42,0.001434965
262,good morning happy monday,42,0.001434965
263,things will get better,42,0.001434965
264,just wanted say hi,42,0.001434965
265,better wine guide now,42,0.001434965
266,wine guide now following,42,0.001434965
267,ill let u know,42,0.001434965
268,today please wish happy,42,0.001434965
269,every single belieber going,42,0.001434965
270,single belieber going explode,42,0.001434965
271,belieber going explode overjoyness,42,0.001434965
272,going explode overjoyness hours,42,0.001434965
273,first come first serve,41,0.001400799
274,let us know want,41,0.001400799
275,happy mothers day amazing,41,0.001400799
276,im just gonna go,41,0.001400799
277,traffic tweet brought tacobell,41,0.001400799
278,today going good day,41,0.001400799
279,let us know goes,41,0.001400799
280,weather bluefield west virginia,41,0.001400799
281,bluefield west virginia weather,41,0.001400799
282,west virginia weather f,41,0.001400799
283,s sweet today please,41,0.001400799
284,sweet today please wish,41,0.001400799
285,looking forward next year,40,0.001366634
286,just wanted make sure,40,0.001366634
287,dont even know im,40,0.001366634
288,im still trying figure,40,0.001366634
289,work hard play hard,40,0.001366634
290,keeps getting better better,40,0.001366634
291,really dont feel like,40,0.001366634
292,happy new year hope,40,0.001366634
293,happy mothers day everyone,40,0.001366634
294,goes around comes around,40,0.001366634
295,hope youre great day,40,0.001366634
296,dont care anyone says,40,0.001366634
297,thanks following look forward,40,0.001366634
298,please call number please,40,0.001366634
299,call number please friends,40,0.001366634
300,number please friends birthday,40,0.001366634
301,please friends birthday happy,40,0.001366634
302,birthday hope great day,40,0.001366634
303,spam bot followers unfollowing,40,0.001366634
304,dont unfollow human promise,40,0.001366634
305,unfollow human promise follow,40,0.001366634
306,human promise follow back,40,0.001366634
307,just wanna go home,40,0.001366634
308,ny red cross auto,40,0.001366634
309,thanks everyone came last,40,0.001366634
310,good things come wait,39,0.001332468
311,well lets just say,39,0.001332468
312,never thought id see,39,0.001332468
313,helping us spread word,39,0.001332468
314,dont let anyone tell,39,0.001332468
315,last night cant wait,39,0.001332468
316,sounds like good time,39,0.001332468
317,happy mothers day hope,39,0.001332468
318,national grilled cheese day,39,0.001332468
319,happy mothers day mommy,39,0.001332468
320,good morning hope everyone,39,0.001332468
321,game comment android market,39,0.001332468
322,food exercise diary calorie,39,0.001332468
323,exercise diary calorie goal,39,0.001332468
324,thanks following us twitter,39,0.001332468
325,dr martin luther king,38,0.001298302
326,still long way go,38,0.001298302
327,cant wait next year,38,0.001298302
328,dont know id without,38,0.001298302
329,just want make sure,38,0.001298302
330,think ive ever seen,38,0.001298302
331,first time ive ever,38,0.001298302
332,friends dont let friends,38,0.001298302
333,cant wait till summer,38,0.001298302
334,great meeting last night,38,0.001298302
335,new favorite song love,38,0.001298302
336,please follow mean world,38,0.001298302
337,lastest im reviews posts,38,0.001298302
338,please let know can,37,0.001264136
339,row ch turn sc,37,0.001264136
340,let know youd like,37,0.001264136
341,dont even know say,37,0.001264136
342,new york new york,37,0.001264136
343,sounds like great idea,37,0.001264136
344,good morning beautiful people,37,0.001264136
345,firehook bakery coffee house,37,0.001264136
346,love song ill sick,37,0.001264136
347,us know need help,37,0.001264136
348,thanks ff great weekend,37,0.001264136
349,elite trainer max body,37,0.001264136
350,go big go home,36,0.00122997
351,hope everyone wonderful day,36,0.00122997
352,one year ago today,36,0.00122997
353,just cant get enough,36,0.00122997
354,dont know dont know,36,0.00122997
355,long time since ive,36,0.00122997
356,looks like im going,36,0.00122997
357,join us happy hour,36,0.00122997
358,star wars day may,36,0.00122997
359,run pace mi nike,36,0.00122997
360,pace mi nike gps,36,0.00122997
361,let know need help,36,0.00122997
362,can anyone recommend good,36,0.00122997
363,will never get old,36,0.00122997
364,using waze drive social,36,0.00122997
365,can guarantee monday every,36,0.00122997
366,guarantee monday every single,36,0.00122997
367,monday every single belieber,36,0.00122997
368,rt cant wait see,36,0.00122997
369,hey heard wild one,36,0.00122997
370,follow look forward tweets,36,0.00122997
371,itunes will buy listen,36,0.00122997
372,will buy listen everyday,36,0.00122997
373,best fan chile follow,36,0.00122997
374,fan chile follow pleasee,36,0.00122997
375,chile follow pleasee oh,36,0.00122997
376,follow pleasee oh please,36,0.00122997
377,flour baking powder salt,35,0.001195804
378,high fructose corn syrup,35,0.001195804
379,new york daily news,35,0.001195804
380,dont think will ever,35,0.001195804
381,hope things going well,35,0.001195804
382,following poised creation twitter,35,0.001195804
383,can please followmecody make,35,0.001195804
